148,36.837514411,127.16925859,회양목
149,36.837462891,127.16923714,회양목
150,36.837381317,127.16921031,회양목
151,36.83728257,127.16919422,회양목
152,36.837205289,127.16917813,회양목
153,36.837106542,127.1691674,회양목
154,36.837020674,127.16914594,회양목
155,36.836861819,127.16912448,회양목
156,36.837145182,127.1690172,주목
157,36.837132302,127.16905475,회양목
158,36.837042141,127.16903865,회양목
159,36.836866112,127.16903865,향나무
160,36.836969154,127.16897428,향나무
161,36.836982034,127.16902256,눈향나무
162,36.837411371,127.1690011,계수나무
163,36.837415664,127.16895819,계수나무
164,36.837411371,127.16905475,백목련
165,36.837574518,127.16887772,백목련
166,36.837574518,127.168926,눈향나무
167,36.837488651,127.16884017,단풍나무
168,36.837510118,127.16879725,단풍나무
169,36.837407077,127.16881871,눈향나무
170,36.837377024,127.16880262,은행나무
171,36.837351264,127.16877043,벚나무
172,36.83728257,127.16874897,벚나무
173,36.837342677,127.16901183,반송
174,36.837467184,127.16874361,리기다소나무
175,36.837505825,127.16871142,리기다소나무
176,36.837531585,127.16874361,화백
177,36.837522998,127.16867924,은행나무
178,36.837286863,127.16906011,반송
179,36.837226756,127.16874897,벚나무
180,36.837188116,127.16874897,향나무
181,36.837153769,127.16876507,라일락
182,36.837115128,127.16876507,라일락
183,36.837213876,127.1687597,회양목
184,36.837316917,127.16876507,회양목
185,36.836904753,127.16887236,향나무
186,36.836969154,127.16887236,회양목
187,36.837037848,127.1688509,회양목
188,36.836969154,127.16882408,산철쭉
189,36.836780244,127.16896355,은행나무
190,36.836836059,127.16880262,은행나무
191,36.836904753,127.16863096,은행나무
192,36.836973447,127.1684593,은행나무
193,36.837059315,127.16829836,은행나무
194,36.837140889,127.16815352,은행나무
195,36.837231049,127.16800869,은행나무
196,36.836814592,127.16888309,향나무
197,36.836870406,127.16871679,향나무
198,36.8369391,127.16853976,향나무
199,36.837007794,127.16837883,향나무
200,36.837102248,127.16822326,향나무
201,36.837188116,127.16808379,향나무
202,36.837170942,127.16871679,산철쭉
203,36.837123715,127.16871142,산철쭉
204,36.83692622,127.16881335,회양목
205,36.837093662,127.1687007,벚나무
206,36.837072195,127.1686846,리기다소나무
207,36.837145182,127.16865242,실화백
208,36.836956273,127.16875434,회양목
209,36.83699062,127.16868997,회양목
210,36.837042141,127.16864705,산철쭉
211,36.837055021,127.16856122,벚나무
212,36.837106542,127.16861486,실화백
213,36.838291504,127.17096448,산철쭉
214,36.838338731,127.17094302,산딸나무
215,36.838295798,127.17092156,소나무
216,36.838325851,127.17088938,소나무
217,36.838308677,127.17084646,느티나무
218,36.838171291,127.17066944,느티나무
219,36.838128358,127.17064798,단풍나무
220,36.838115478,127.17062116,전나무
221,36.838098305,127.17057824,전나무
222,36.838149825,127.17071235,소나무
223,36.838136945,127.17077672,소나무
224,36.838115478,127.1708411,소나무
225,36.838072545,127.17081964,산철쭉
226,36.838068252,127.17078745,산철쭉
